Thu Feb 22 08:39:38 +0000 2018,StephenStewart,Positive
Thu Feb 22 08:39:39 +0000 2018,Hakmabhai,Neutural
Thu Feb 22 08:39:39 +0000 2018,Crypto Magic,Positive
Thu Feb 22 08:39:40 +0000 2018,christbudz,Neutural
Thu Feb 22 08:39:40 +0000 2018,@iznogood,Negative
Thu Feb 22 08:39:40 +0000 2018,Heinrich Schmidt,Neutural
Thu Feb 22 08:39:40 +0000 2018,Артем Семенов,Positive
Thu Feb 22 08:39:40 +0000 2018,viewaskiew,Negative
Thu Feb 22 08:39:40 +0000 2018,gdsfgreg,Neutural
Thu Feb 22 08:39:41 +0000 2018,OlafBock,Negative
Thu Feb 22 08:39:42 +0000 2018,仮想通貨で稼ぐなら｜blockchainTeX,Neutural
Thu Feb 22 08:39:42 +0000 2018,Black White,Neutural
Thu Feb 22 08:39:43 +0000 2018,mihajakli,Neutural
Thu Feb 22 08:39:44 +0000 2018,look,Neutural
Thu Feb 22 08:39:44 +0000 2018,Alvaro,Positive
Thu Feb 22 08:39:45 +0000 2018,Stanislav Shapovalov,Neutural
Thu Feb 22 08:39:46 +0000 2018,Volodya Yermakov,Neutural
Thu Feb 22 08:39:46 +0000 2018,Djakobo,Positive
Thu Feb 22 08:39:46 +0000 2018,VictoriaMurray,Positive
Thu Feb 22 08:39:46 +0000 2018,Crypto Unity,Negative
Thu Feb 22 08:39:47 +0000 2018,mMaXx / Airdrop  #savedroidICO,Neutural
